timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, motor1, motor2, motor3, motor4, voltage
423294, 5.643457889556885, 1.9500826597213745, -7.121623516082764, 0.0, 0.0, -219.0547637939453, 0.0, 0.0, 0.1373291015625, 1.5842211246490479, -1.3015995025634766, 1.9066884517669678, 8.595352248488995, 3.927046347715361, 95.3370604107774, 33287.0, 33588.0, 29688.0, 35214.0, 7.8942155838012695
423304, 5.33185338973999, 1.894652247428894, -8.343767166137695, 0.0, 0.0, -219.0535430908203, 0.0, 0.0, 0.1220703125, 1.5851309299468994, -1.3033453226089478, 1.909203052520752, 8.795618192525264, 3.6900680466543463, 94.4588243157397, 32454.0, 33660.0, 29532.0, 36046.0, 7.8942155838012695
423314, 4.4612627029418945, 2.029630661010742, -7.81831693649292, 0.0, 0.0, -219.05259704589844, 0.0, 0.0, 0.0946044921875, 1.5869048833847046, -1.3051809072494507, 1.911095380783081, 9.257576341659702, 3.3394108712529373, 94.04566275532198, 32773.0, 33646.0, 29942.0, 35727.0, 7.9140496253967285
423324, 4.679967880249023, 1.8005878925323486, -8.568257331848145, 0.0, 0.0, -219.05101013183594, 0.0, 0.0, 0.15869140625, 1.5932036638259888, -1.3067432641983032, 1.9133501052856445, 7.95065676408337, 3.0928996054370828, 93.27784046718193, 33248.0, 33502.0, 30241.0, 34295.0, 7.8942155838012695
423334, 3.8638181686401367, 1.9316998720169067, -7.570385932922363, 0.0, 0.0, -219.04933166503906, 0.0, 0.0, 0.1678466796875, 1.5996712446212769, -1.3077715635299683, 1.9149370193481445, 7.139377402279532, 3.116954662761856, 93.33097948883953, 33897.0, 33684.0, 30904.0, 33645.0, 7.8942155838012695
423344, 3.6042685508728027, 2.0853054523468018, -7.6200971603393555, 0.0, 0.0, -219.04713439941406, 0.0, 0.0, 0.2197265625, 1.6091605424880981, -1.3088173866271973, 1.9176183938980103, 5.001681859401241, 3.0641625628533404, 93.47071530551914, 34554.0, 33629.0, 31170.0, 32989.0, 7.874380588531494
423354, 3.7970030307769775, 2.137722969055176, -6.105985164642334, 0.0, 0.0, -219.04486083984375, 0.0, 0.0, 0.22735595703125, 1.6156806945800781, -1.3106307983398438, 1.9202189445495605, 3.9623046558831696, 3.076507695640686, 94.73265517258586, 35266.0, 33413.0, 31000.0, 32277.0, 7.9140496253967285
423364, 4.250488758087158, 1.8588054180145264, -6.725815773010254, 0.0, 0.0, -219.04263305664062, 0.0, 0.0, 0.2227783203125, 1.6168584823608398, -1.3121670484542847, 1.9226117134094238, 4.220175203430195, 2.845135084377688, 93.83162061154397, 35236.0, 33401.0, 30425.0, 32307.0, 7.9140496253967285
423374, 5.571577072143555, 1.876013994216919, -7.06257438659668, 0.0, 0.0, -219.04263305664062, 0.0, 0.0, 0.2227783203125, 1.6157584190368652, -1.3133251667022705, 1.9240528345108032, 5.020124874565244, 2.6844570962698526, 93.4702645883095, 34673.0, 33647.0, 29846.0, 32869.0, 7.9140496253967285
423384, 5.589378833770752, 1.8404823541641235, -8.271413803100586, 0.0, 0.0, -219.0400390625, 0.0, 0.0, 0.11138916015625, 1.6170183420181274, -1.314350962638855, 1.9251469373703003, 4.7430855461019314, 2.6497063714536466, 93.24176079262557, 34673.0, 33647.0, 29846.0, 32869.0, 7.9140496253967285
423394, 5.009692192077637, 1.9210247993469238, -7.688926696777344, 0.0, 0.0, -219.03919982910156, 0.0, 0.0, 0.08392333984375, 1.6174559593200684, -1.3155267238616943, 1.926382303237915, 5.448061873624261, 2.5991856764401575, 93.27986241585657, 33554.0, 33689.0, 29944.0, 33988.0, 7.8942155838012695
423404, 5.653042793273926, 1.7047146558761597, -8.679694175720215, 0.0, 0.0, -219.03790283203125, 0.0, 0.0, 0.12969970703125, 1.619044542312622, -1.316828966140747, 1.9282970428466797, 5.867012500304039, 2.49748017259202, 93.23868418515416, 34239.0, 33603.0, 30240.0, 33303.0, 7.8942155838012695
423414, 5.638400077819824, 1.8055156469345093, -8.240559577941895, 0.0, 0.0, -219.03640747070312, 0.0, 0.0, 0.1495361328125, 1.6231050491333008, -1.3174318075180054, 1.929806113243103, 4.701071646193805, 2.502609234473425, 93.05758960766032, 34182.0, 33778.0, 30912.0, 33361.0, 7.9140496253967285
423424, 5.915053367614746, 1.919704556465149, -7.664034843444824, 0.0, 0.0, -219.03436279296875, 0.0, 0.0, 0.2044677734375, 1.6255983114242554, -1.3181777000427246, 1.9307767152786255, 5.103998810200559, 2.469776968861396, 93.16531648393777, 34755.0, 33760.0, 31392.0, 33744.0, 7.854546070098877
423434, 6.993062973022461, 1.893714189529419, -6.604442596435547, 0.0, 0.0, -219.03211975097656, 0.0, 0.0, 0.22430419921875, 1.6339644193649292, -1.3193106651306152, 1.9337102174758911, 3.313778212924861, 2.3496132854241694, 92.5135689104202, 34713.0, 33518.0, 31279.0, 33787.0, 7.8942155838012695
423444, 7.638175010681152, 1.9436225891113281, -6.366608142852783, 0.0, 0.0, -219.03038024902344, 0.0, 0.0, 0.1739501953125, 1.6369386911392212, -1.3199762105941772, 1.9353798627853394, 3.8895729871545677, 2.4364442229026224, 94.69319632641835, 34217.0, 33533.0, 30810.0, 34282.0, 7.9140496253967285
