timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, motor1, motor2, motor3, motor4, voltage, roll rate, pitch rate, yaw rate
703126, -1.4771519899368286, -0.13619686663150787, 2.4431307315826416, -0.05896075814962387, -0.09677568823099136, 0.9883610010147095, -0.0022927008103579283, 0.010207153856754303, 0.08372290432453156, -0.06421507894992828, -0.09903720766305923, 0.9912612438201904, 1.6104656441822383, 1.7657942367654869, 0.7333853876467963, 35577.0, 33363.0, 30109.0, 34888.0, 7.49752140045166, -31.94711685180664, 25.84469223022461, 272.9605712890625
703136, -1.6519120931625366, -0.07117781788110733, 2.158677339553833, -0.05896075814962387, -0.09677568823099136, 0.9883610010147095, -0.0022927008103579283, 0.010207153856754303, 0.08372290432453156, -0.06397658586502075, -0.09642598032951355, 0.991495668888092, 2.3964079994324092, 1.9076096918510927, 0.8294132528834219, 36035.0, 33449.0, 29947.0, 34294.0, 7.477686405181885, -31.94711685180664, 25.84469223022461, 272.9605712890625
703146, -1.0787744522094727, -0.09574873745441437, 2.475757122039795, -0.05930893123149872, -0.09599123150110245, 0.986976683139801, -0.0027250947896391153, 0.01356048695743084, 0.009445803239941597, -0.0642525851726532, -0.0971028059720993, 0.9924215078353882, 1.8201523971260196, 1.767500083768084, 1.4931342126083, 35879.0, 33504.0, 29957.0, 34448.0, 7.477686405181885, 82.53443908691406, -16.791885375976562, 76.94549560546875
703156, -0.07511025667190552, -0.2328130155801773, 2.55375599861145, -0.05930893123149872, -0.09599123150110245, 0.986976683139801, -0.0027250947896391153, 0.01356048695743084, 0.009445803239941597, -0.06415605545043945, -0.09562452882528305, 0.9921483993530273, 2.5338441431963057, 1.8509630253154512, 1.391309580701893, 35093.0, 33462.0, 29901.0, 35369.0, 7.43801736831665, 82.53443908691406, -16.791885375976562, 76.94549560546875
703166, -0.05567634105682373, -0.2060573548078537, 2.360299587249756, -0.05936256796121597, -0.0956561490893364, 0.9877275228500366, -0.002534841885790229, 0.01885388232767582, 0.06100313365459442, -0.06423543393611908, -0.09594439715147018, 0.9929724931716919, 2.7761182797763024, 1.9114512594632345, 0.7457042383676352, 34320.0, 33571.0, 29815.0, 36338.0, 7.43801736831665, 50.16278076171875, 24.42021942138672, 161.33546447753906
703176, 0.6195446848869324, -0.13816307485103607, 1.671186089515686, -0.05938568711280823, -0.09546677768230438, 0.9884037971496582, -0.0020947386510670185, 0.01901368424296379, 0.07425788789987564, -0.064167819917202, -0.09996423125267029, 0.9934165477752686, 1.7375850754637052, 1.9447019373216108, 1.2703461679080912, 34320.0, 33571.0, 29815.0, 36338.0, 7.477686405181885, 50.16278076171875, 24.42021942138672, 161.33546447753906
703186, 0.39636534452438354, -0.12825660407543182, 1.940033197402954, -0.059688668698072433, -0.09652618318796158, 0.9868041276931763, -0.002489467617124319, 0.015869494527578354, 0.06634346395730972, -0.06393612921237946, -0.10323509573936462, 0.9935956597328186, 0.9971474822143269, 1.7400214792838824, 3.0386584840102846, 33899.0, 33557.0, 29913.0, 36817.0, 7.457852363586426, 50.16278076171875, 24.42021942138672, 161.33546447753906
703196, -0.5752522349357605, -0.13057462871074677, 2.6960792541503906, -0.059711869806051254, -0.09637415409088135, 0.9875977635383606, -0.002152201719582081, 0.014639599248766899, 0.09238708019256592, -0.06362011283636093, -0.10516215115785599, 0.9939780831336975, 0.1761188974465682, 1.9202536042548104, 2.491249852410857, 33899.0, 33557.0, 29913.0, 36817.0, 7.418182373046875, 50.16278076171875, 24.42021942138672, 161.33546447753906
703206, -1.2534396648406982, -0.09971442073583603, 2.0559463500976562, -0.059732504189014435, -0.09623020887374878, 0.9883899688720703, -0.0019383670296519995, 0.013709223829209805, 0.06607705354690552, -0.06402920186519623, -0.10372161120176315, 0.9933639764785767, 0.6278173182602025, 1.8525059726040354, 2.2100699468569203, 35315.0, 33385.0, 30123.0, 35103.0, 7.457852363586426, 50.16278076171875, 24.42021942138672, 161.33546447753906
703216, -1.406703233718872, -0.044893063604831696, 2.6864185333251953, -0.05975104123353958, -0.09608835726976395, 0.9890299439430237, -0.0017588137416169047, 0.01461178157478571, 0.06190948933362961, -0.06415650993585587, -0.10251814126968384, 0.9937816858291626, 0.5817096471487451, 1.8320161703725546, 1.6010042514626308, 35797.0, 33437.0, 30017.0, 34438.0, 7.49752140045166, -7.377724647521973, -2.2433602809906006, -248.41383361816406
703226, -0.8951087594032288, -0.09109771996736526, 2.4488565921783447, -0.0597681850194931, -0.09593205899000168, 0.989622950553894, -0.0016861999174579978, 0.01663699559867382, 0.05668707937002182, -0.0639798641204834, -0.0988580510020256, 0.9939982295036316, 1.611437276926314, 1.9605738368419452, 1.200392042357043, 35797.0, 33437.0, 30017.0, 34438.0, 7.457852363586426, -7.377724647521973, -2.2433602809906006, -248.41383361816406
703236, 0.1973622590303421, -0.2061939239501953, 2.6118788719177246, -0.06010368466377258, -0.09681499004364014, 0.9881120324134827, -0.002537904540076852, 0.016404684633016586, 0.05987870320677757, -0.06451024115085602, -0.0968005582690239, 0.9936086535453796, 2.2693619845864874, 1.8168836420281878, 2.0809777927245525, 34880.0, 33422.0, 29802.0, 35202.0, 7.418182373046875, -7.377724647521973, -2.2433602809906006, -248.41383361816406
703246, 0.37131208181381226, -0.16937245428562164, 1.9828146696090698, -0.060128506273031235, -0.09664146602153778, 0.9888249039649963, -0.0023682236205786467, 0.017870523035526276, 0.08274103701114655, -0.0646313726902008, -0.09658532589673996, 0.9944173693656921, 2.202574560775503, 1.8238765829151475, 1.778441203607545, 33901.0, 33566.0, 29685.0, 36207.0, 7.477686405181885, -4.932242393493652, 0.4696557819843292, -123.52687072753906
703256, 1.0442390441894531, -0.16078533232212067, 2.4524660110473633, -0.060128506273031235, -0.09664146602153778, 0.9888249039649963, -0.0023682236205786467, 0.017870523035526276, 0.08274103701114655, -0.06454217433929443, -0.095371313393116, 0.9944518804550171, 2.9564371903869113, 2.0137956573020404, 1.1541194873829692, 33580.0, 33595.0, 29667.0, 36553.0, 7.477686405181885, -4.932242393493652, 0.4696557819843292, -123.52687072753906
